ChickID,Nest,Date,ToeNail,Mass_total,mass_bag,Mass_net,S_T,Tar,Treatment_Type
AA1,AA,2018-09-24,TN1,35,11,24,21.87,23.39,Experimental
AA1,AA,2018-09-27,TN1,37,11,26,22.62,24.64,Experimental
AA1,AA,2018-09-28,TN1,43,11,32,22.3,26,Experimental
AA1,AA,2018-09-29,TN1,45,11,34,23.27,26.49,Experimental
AA2,AA,2018-09-28,TN2,36,11,25,23.16,22.86,Experimental
AA2,AA,2018-09-29,TN2,35,11,24,22.8,23.98,Experimental
AA2,AA,2018-09-30,TN2,35,11,24,23.08,24.43,Experimental
AA5,AA,2018-10-04,TN5,39,11,28,22.24,22.51,Experimental
AA5,AA,2018-10-05,TN5,37,11,26,21.56,25.03,Experimental
AA5,AA,2018-10-16,TN5,61,11,50,23.08,31.82,Experimental
AA6,AA,2018-10-04,TN6,36,11,25,22.01,21.88,Experimental
AA6,AA,2018-10-06,TN6,34,11,33,21.83,23.79,Experimental
AA6,AA,2018-10-18,TN6,63,11,52,22.54,28.87,Experimental
AD1,AD,2018-09-28,TN1,41,11,30,21.21,22.57,Control
AD1,AD,2018-09-30,TN1,42,11,31,21.69,26.4,Control
AD2,AD,2018-09-28,TN2,38,11,27,21.29,23.16,Control
AD2,AD,2018-09-30,TN2,38,11,27,20.9,25.33,Control
AD2,AD,2018-10-01,TN2,39,11,28,21.91,24.27,Control
AD2,AD,2018-10-22,TN2,105,10,95,29.29,40.84,Control
AD3,AD,2018-09-28,TN3,34,11,23,20.87,22.06,Control
AD3,AD,2018-09-30,TN3,33,11,22,21.12,23.72,Control
AD4,AD,2018-09-29,TN4,39,11,28,22.57,24.74,Control
AD4,AD,2018-09-30,TN4,37,11,26,21.76,23.97,Control
AD4,AD,2018-10-01,TN4,40,11,29,22.51,25.14,Control
AD5,AD,2018-10-01,TN5,39,11,28,21.27,24.92,Control
AG1,AG,2018-09-24,TN1,37,11,26,21.47,24.75,Control
AG1,AG,2018-09-26,TN1,43,10,33,21.03,25.8,Control
AG1,AG,2018-09-27,TN1,41,11,30,21.9,26.36,Control
AG2,AG,2018-09-24,TN2,34,11,23,21.49,23.58,Control
