Paddock,Known population,area_m2,Count_1,Date,start_time,end_time,count_2,date,time,scope_count,scope_time,Census_2,date,start_time,Census_2_2ndcount,,
Staff 3,,,7,14-Oct-18,,,,,,,,5,,,,,
Woolshed,,,5,14-Oct-18,,,,,,,,8,,,,,
Workshop,,,15,14-Oct-18,,,,,,,,16,14-Nov-18,,,,
Lagoon_flats,,,18,14-Oct-18,,,2,15-Oct-18,1146,,,10,14-Nov-18,,7,15-Nov-18,1000
Lagoon_paddock,,,14,14-Oct-18,,,,,,,,19,14-Nov-18,,,,
Hay_paddock,,,22,15-Oct-18,,,,,,14,710,23,15-Nov-18,,,,
East Point 1,,,17,14-Oct-18,,,,,,,,23,14-Nov-18,,,,
East Point 2,,,28,14-Oct-18,,,,,,,,18,14-Nov-18,,,,
East Pt race,,,8,14-Oct-18,,,,,,,,5,14-Nov-18,,,,
Cactus Hill,,,36,15-Oct-18,,,,,,,,33,14-Nov-18,,,,
Slip,,,11,14-Oct-18,,,,,,,,14,14-Nov-18,,,,
Airstrip,,,39,14-Oct-18,,,,,,,,7,14-Nov-18,,,,
Valley east of airstrip,,,18,14-Oct-18,,,,,,,,9,14-Nov-18,,,,
EP race,,,1,14-Oct-18,,,,,,,,5,14-Nov-18,,,,
Tank,,,18,14-Oct-18,,,,,,,,12,14-Nov-18,,,,
Valley east of Tank,,,6,14-Oct-18,,,,,,,,8,14-Nov-18,,,,
Tank race,,,1,14-Oct-18,,,,,,,,1,14-Nov-18,,,,
Valley between Tank and South Coast,,,10,14-Oct-18,,,,,,,,8,14-Nov-18,,,,
South coast 1,,,5,14-Oct-18,,,0,14-Oct-18,1400,,,9,14-Nov-18,,,,
South coast race,,,5,14-Oct-18,,,,,,,,0,14-Nov-18,,,,
South coast 2,,,10,14-Oct-18,,,,,,,,19,14-Nov-18,,,,
Wood cutters race,,,9,14-Oct-18,,,,,,,,0,14-Nov-18,,,,
Wood cutters,,,13,14-Oct-18,,,,,,,,19,14-Nov-18,,,,
Trail after wood cutters,,,9,14-Oct-18,,,,,,,,2,14-Nov-18,,,,
South Punchbowl,,,79,14-Oct-18,,,67,15-Oct-18,927,,,74,14-Nov-18,,,,
Lookout,,,48,15-Oct-18,,,,,,,,36,14-Nov-18,,,,
Hay Barn,,,22,15-Oct-18,,,,,,,,27,14-Nov-18,,,,
Hay barn race,,,3,15-Oct-18,,,,,,,,4,14-Nov-18,,,,
North Cove,,,33,15-Oct-18,,,,,,,,10,14-Nov-18,,,,
North Coast,,,68,15-Oct-18,,,,,,,,56,14-Nov-18,,,,
Trig,,,33,15-Oct-18,,,,,,,,28,14-Nov-18,,,,
North Punchbowl,,,44,15-Oct-18,,,,,,,,30,14-Nov-18,,,,
Anchor Bay,,,11,15-Oct-18,,,,,,,,13,,,,,
Roadflats,,,39,15-Oct-18,,,,,,,,33,,,,,
Swede,,,25,15-Oct-18,,,,,,,,12,,,,,
Hay East,,,4,15-Oct-18,,,,,,,,15,,,,,
Hay West,,,9,15-Oct-18,,,,,,,,14,,,,,
Campground,,,43,15-Oct-18,,,,,,,,40,,,,,
Stockyard 3,,,13,15-Oct-18,,,,,,,,3,,,,,
Moes,,,3,15-Oct-18,,,,,,,,0,,,,,
Stockyard 2,,,26,15-Oct-18,,,,,,,,25,,,,,
Stockyard 1,,,33,15-Oct-18,,,,,,,,24,,,,,
Twin Hills,,,12,15-Oct-18,,,,,,,,6,,,,,
M16 east,,,16,15-Oct-18,,,,,,,,14,,,,,
M16 west,,,31,15-Oct-18,,,,,,,,11,,,,,
M16 Predator,,,11,15-Oct-18,,,,,,,,4,,,,,
Collin's,,,16,15-Oct-18,,,,,,,,3,,,,,
Camp,,,9,15-Oct-18,,,,,,26,15-Oct-18,21,,,,,
M3 race,,,11,17-Oct-18,,,,,,,,13,,,,,
,,total =,967,,,,,,,,,789,,,,,
,,adjusted = ,,,,,,,,,,,,,,,
,,Meghan's ,Tawharanui=1035.74±171.15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comparisons:,,,,,,,,,,,,,,,,,
ratio: census:repeated counts,,,,,,,,,,,,,,,,,
ratio: census:known population,,,,,,,,,,,,,,,,,
ratio: census: doubled,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
paddock size.pop count extrapolated to ,,,,,,,,,,,,,,,,,
