Species,duration,disttomax,Start2End:Δfreq/Time,Min2Max:Δfreq/time,peak freq@start,peak freq@end,peak freq@centre,peak freq@maxamp,MIN FREQ,MAX FREQ,Call Bandwidth,StarttoPeak:Δfreq/time,# Modulations,inter-peak duration
1,0.0301,0.017,5645.332,-57117.469,7100,6930,7790,7490,6370,8090,1720,-51400.34,2,0.013
1,0.0468,0.0279,-5555.232,-32263.08,6670,6930,6840,7140,6580,8090,1510,-110250.008,4,0.0232
1,0.0526,0.0192,-1710.776,-16347.414,7230,7320,7320,7570,7190,8050,860,-56503.125,4,0.025
1,0.0547,0.0217,-7848.924,-17340.646,6280,6710,6240,6200,6110,7060,950,-38211.648,4,0.0217
1,0.0518,0.0228,-963.724,-21587.414,7570,7620,7790,7660,7320,8440,1120,-34453.125,4,0.0253
1,0.0526,0.0402,-760.345,-19578.881,7530,7570,7360,8350,7320,8350,1030,-29285.158,4,0.0253
1,0.0406,0.0185,-36175.781,-37160.156,7400,8870,7490,7570,7400,8910,1510,-106312.508,4,0.0264
1,0.0526,0.0402,-760.345,-19578.881,7530,7570,7360,8350,7320,8350,1030,-26437.5,5,0.025
1,0.0562,0.0333,11380.646,-17604.436,7010,6370,6500,6370,6200,7190,990,0,5,0.0203
1,0.0565,0.0337,10600.962,-17491.588,7010,6410,6500,6370,6200,7190,990,-4429.688,4,0.0214
1,0.0478,0.0199,-8143.466,-30485.797,7400,7790,7360,7700,7060,8520,1460,-48533.969,2,0.0246
1,0.0344,0.0061,-3771.711,-26111.842,6200,6330,6970,6330,6200,7100,900,-37991.555,4,0.0185
1,0.0515,0.0083,-2523.327,-23486.355,6540,6670,6410,6200,6150,7360,1210,-49133.156,4,0.0246
1,0.0449,0.0181,-4890.121,-22005.545,7400,7620,7570,7620,7400,8390,990,-42000,4,0.0246
1,0.0293,0.0246,-22118.055,-33687.5,6410,7060,7060,6840,6410,7400,990,-47775,4,0.0188
1,0.0486,0.0268,-12341.418,-22214.553,6970,7570,7190,7230,6970,8050,1080,-58104.73,4,0.0232
1,0.0453,0.0279,882,-31311.002,7530,7490,7450,7270,7100,8520,1420,-52561.047,4,0.0166
1,0.0406,0.0185,-5167.969,-26332.033,7450,7660,7750,7620,7450,8520,1070,-85538.797,4,0.0203
1,0.0341,0.0152,-22871.012,-85912.906,6710,7490,7010,7140,5250,8180,2930,-94092.68,6,0.0221
1,0.0522,0.0293,-16460.938,-29667.969,6280,7140,6460,6670,6280,7830,1550,-76326.93,4,0.0221
1,0.0478,0.0304,0,-29859.377,7570,7570,9000,7830,7570,9000,1430,-89578.125,4,0.0174
1,0.0417,0.033,-9347.282,-26843.479,7100,7490,7190,7660,7010,8130,1120,-101062.5,4,0.0221
1,0.0475,0.0235,-2735.21,-18936.068,6500,6630,6710,6710,6500,7400,900,-46355.113,4,0.0217
1,0.05,0.0268,-23967.393,-33554.352,5940,7140,7010,7140,5940,7620,1680,-71829.547,5,0.0203
1,0.0468,0.0192,-6409.884,-27776.162,6890,7190,7360,7790,6580,7880,1300,-64312.504,2,0.0235
2,0.0609,0.0203,-14765.625,-43148.438,6460,7360,8870,6930,6410,9040,2630,-221418.75,6,0.0174
2,0.0486,0.0362,-41755.133,-46074.629,7270,9300,8050,7830,7100,9340,2240,-165375,6,0.0185
2,0.0413,0.0203,-16682.566,-57300.988,6410,7100,6970,7010,6410,8780,2370,-207703.141,4,0.0192
2,0.0573,0.0177,-8896.757,-51810.523,6630,7140,8690,7270,6370,9340,2970,-195788.797,6,0.0192
2,0.0137,0.0087,-31189.146,-52949.016,6970,7400,6760,6670,6670,7400,730,-92895.836,3,0.0137
2,0.0653,0.0326,-6584.375,-35065.625,5590,6020,5980,5980,5590,7880,2290,-179666.672,6,0.0177
2,0.0228,0.0061,-11375,-54687.5,7750,8010,8740,7700,7490,8740,1250,-92467.742,2,0.0126
2,0.054,0.0152,-10359.061,-45505.875,6890,7450,8010,7100,6840,9300,2460,-155900.391,6,0.0177
2,0.0442,0.0159,-61224.898,-61224.898,6670,9380,7360,7320,6670,9380,2710,-162034.094,4,0.0185
2,0.0489,0.0195,-1837.5,-36954.168,7270,7360,8780,7360,7230,9040,1810,-100775.391,4,0.0156
2,0.0645,0.0402,7277.739,-30659.41,6970,6500,8480,6890,6500,8480,1980,-56377.844,6,0.0177
2,0.0424,0.0206,-42403.848,-61721.156,6460,8260,6760,6710,6330,8950,2620,-237234.391,6,0.0166
2,0.0533,0.0199,-16125.001,-46875.004,6540,7400,8260,6670,6540,9040,2500,-93023.438,6,0.0199
2,0.05,0.0272,-7789.403,-41343.754,6930,7320,7660,7400,6840,8910,2070,-194388.156,4,0.0156
2,0.0515,0.0243,-13393.046,-30862.236,5980,6670,6460,6410,5980,7570,1590,-110250,7,0.0145
2,0.0997,0.0551,-3908.864,-12027.272,7570,7960,7660,8010,7450,8650,1200,-63828.949,9,0.0166
2,0.0834,0.0428,4673.641,-16537.5,8010,7620,7960,8010,7400,8780,1380,-119109.383,6,0.0156
3,0.0424,0.0177,4240.385,-26384.615,7320,7140,7960,7490,7140,8260,1120,-84892.5,6,0.0145
3,0.0587,0.0181,-4423.611,-22628.473,7270,7530,7920,8050,7060,8390,1330,-91457.391,8,0.0134
3,0.0591,0.0272,-6425.614,-22489.648,7450,7830,8050,7830,6930,8260,1330,-151593.75,6,0.013
3,0.0558,0.033,-22372.16,-34542.613,6500,7750,7010,7190,6460,8390,1930,-161023.031,6,0.0152
3,0.0544,0.0388,-15802.5,-35647.5,6540,7400,6970,7270,6540,8480,1940,-181588.25,8,0.0148
3,0.0573,0.0257,-12036.788,-36110.367,6540,7230,7010,7100,6540,8610,2070,-150868.422,8,0.0148
3,0.0558,0.0199,1610.796,-22372.16,7620,7530,7490,7360,7010,8260,1250,-78604.172,6,0.0137
3,0.0464,0.0195,2799.316,-20241.211,7490,7360,7790,7360,7190,8130,940,-78093.758,6,0.0145
3,0.0558,0.0275,-5369.318,-29352.273,6970,7270,7530,7490,6970,8610,1640,-129042.617,8,0.0141
3,0.0468,0.0275,1709.302,-26707.848,6970,6890,7140,6710,6540,7790,1250,-87039.477,6,0.0159
3,0.0402,0.0156,-35260.137,-42709.461,5640,7060,6110,5940,5640,7360,1720,-156605.125,4,0.017
3,0.0562,0.0308,-15292.742,-28985.08,5900,6760,6410,6540,5900,7530,1630,-109101.57,6,0.0163
3,0.0591,0.0272,-6425.614,-22489.648,7450,7830,8050,7830,6930,8260,1330,-112875,8,0.0145
3,0.0562,0.0326,-17604.436,-34319.758,6460,7450,7010,7190,6460,8390,1930,-147459.375,8,0.0152
3,0.0565,0.0206,4593.75,-19788.463,7620,7360,7450,7450,7140,8260,1120,-84892.5,6,0.0156
3,0.0602,0.0257,664.157,-18596.385,6930,6890,7270,7060,6760,7880,1120,-172892.047,7,0.0137
3,0.0605,0.0257,660.18,-16999.627,6930,6890,7700,7060,6760,7790,1030,-186375,7,0.0134
3,0.0413,0.021,-6286.185,-28287.83,6840,7100,7320,7360,6840,8010,1170,-124031.258,4,0.017
4,0.0478,0.0297,-8143.466,-42178.98,7270,7660,8390,6410,6370,8390,2020,215332.031,9,0.0141
4,0.0471,0.0308,10812.981,-26290.385,6970,6460,6970,7060,6460,7700,1240,-181912.5,6,0.0141
4,0.0417,0.0177,10305.979,-34033.695,7700,7270,7060,6630,6370,7790,1420,-118730.773,8,0.0148
4,0.0627,0.0268,-4779.624,-37759.031,6280,6580,7010,6890,6110,8480,2370,-227690.234,8,0.0145
5,0.038,0.0232,-1312.5,-31762.502,7010,7060,7190,6890,6670,7880,1210,-134367.188,5,0.0134
